"Action","Action"
"Actions","Actions"
"Activation code is incorrect","Activation code is incorrect"
"Active","Active"
"Add Item","Add Item"
"Add Queue","Add Queue"
"Address Information","Address Information"
"Address to send test email","Address to send test email"
"Adds name fields for guests","Adds name fields for guests"
"Add Subscriber","Add Subscriber"
"Add to","Add to"
"Advanced Newsletter","Advanced Newsletter"
"Advanced Newsletter","Advanced Newsletter"
"AdvancedNewsletter","AdvancedNewsletter"
"Advancednewsletter subscriber activation","Advancednewsletter subscriber activation"
"Advancednewsletter subscriber first subscription","Advancednewsletter subscriber first subscription"
"Advancednewsletter unsubscription","Advancednewsletter unsubscription"
"AJAX layer","AJAX layer"
"All","All"
"An error occurred while deleting this template.","An error occurred while deleting this template."
"An error occurred while saving this template.","An error occurred while saving this template."
"API key","API key"
"Apikey or xmlrpc url are inncorrect","Apikey or xmlrpc url are inncorrect"
"Apply MSS rule:","Apply MSS rule:"
"Are you sure?","Are you sure?"
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Auto-management rules","Auto-management rules"
"Back","Back"
"Cancel","Cancel"
"Cancelled","Cancelled"
"Cannot mark as received subscriber.","Cannot mark as received subscriber."
"Category","Category"
"Category default","Category default"
"Change Password","Change Password"
"Check boxes","Check boxes"
"Choose needed parameters","Choose needed parameters"
"City","City"
"Company","Company"
"Conditions Combination","Conditions Combination"
"Conditions","Conditions"
"Confirm Password","Confirm Password"
"Contact Information","Contact Information"
"Contains any of these SKUs","Contains any of these SKUs"
"Convert to Plain Text","Convert to Plain Text"
"Couldn\'t connect to MailChimp","Couldn\'t connect to MailChimp"
"Country","Country"
"Create an Account","Create an Account"
"Create Newsletter Template","Create Newsletter Template"
"CSV","CSV"
"Customer","Customer"
"Customers can be filtered using Market Segmenation Suite rules. Learn more.","Customers can be filtered using Market Segmenation Suite rules. Learn more."
"Customer Since","Customer Since"
"Customer will be automatically subscribed to this segment without choice","Customer will be automatically subscribed to this segment without choice"
"Date Added","Date Added"
"Date Updated","Date Updated"
"Default category","Default category"
"Default Category","Default Category"
"Default store","Default store"
"Default Store","Default Store"
"Default subscription","Default subscription"
"Delete","Delete"
"Delete Item","Delete Item"
"Delete Rule","Delete Rule"
"Delete Template","Delete Template"
"Display in category","Display in category"
"Display in store","Display in store"
"Display name","Display name"
"Display order","Display order"
"Display phone","Display phone"
"Display salutation","Display salutation"
"Display segments at customer registration form","Display segments at customer registration form"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Do you really want to delete the queue?","Do you really want to delete the queue?"
"Do you really want to start the queue now?","Do you really want to start the queue now?"
"Edit","Edit"
"Edit Item '%s'","Edit Item '%s'"
"Edit Newsletter Template","Edit Newsletter Template"
"Edit Queue","Edit Queue"
"Edit Rule '%s'","Edit Rule '%s'"
"Edit Segment","Edit Segment"
"Edit Smtp","Edit Smtp"
"Edit Subscriber","Edit Subscriber"
"Edit Subscriber '%s'","Edit Subscriber '%s'"
"Edit Template","Edit Template"
"Email Address","Email Address"
"Email","Email"
"Email is empty","Email is empty"
"Enabled","Enabled"
"Enables/disables auto-synchronization with MailChimp which happens each time a user subscribes/unsubscribes","Enables/disables auto-synchronization with MailChimp which happens each time a user subscribes/unsubscribes"
"Export Customers","Export Customers"
"Failed","Failed"
"Fields","Fields"
"First name","First name"
"First Name","First Name"
"Form configuration","Form configuration"
"Form display style","Form display style"
"Frontend Visibility","Frontend Visibility"
"General","General"
"General Information","General Information"
"Group","Group"
"Guest","Guest"
"ID","ID"
"If %s of these order conditions are %s","If %s of these order conditions are %s"
"Imports subscribers from Magento newsletter to Advanced Newsletter","Imports subscribers from Magento newsletter to Advanced Newsletter"
"Imports templates from Magento newsletter to Advanced Newsletter","Imports templates from Magento newsletter to Advanced Newsletter"
"Import Subscribers","Import Subscribers"
"Import Templates","Import Templates"
"Inactive","Inactive"
"In block","In block"
"Invalid email","Invalid email"
"Invalid template","Invalid template"
"Invalid test email","Invalid test email"
"is","is"
"is not","is not"
"Item was successfully deleted","Item was successfully deleted"
"Item was successfully saved","Item was successfully saved"
"Last name","Last name"
"Last Name","Last Name"
"List ID","List ID"
"Loading...","Loading..."
"Login Information","Login Information"
"MailChimp auto-sync is disabled for store %s","MailChimp auto-sync is disabled for store %s"
"MailChimp auto-sync","MailChimp auto-sync"
"MailChimp configuration","MailChimp configuration"
"MailChimp is disabled for store %s","MailChimp is disabled for store %s"
"MailChimp synchronization","MailChimp synchronization"
"Make sure that there is at least one group in the selected list","Make sure that there is at least one group in the selected list"
"Message (Read only)","Message (Read only)"
"MSS Rule","MSS Rule"
"Multiselect","Multiselect"
"Name","Name"
"New Newsletter Template","New Newsletter Template"
"New Rule","New Rule"
"New Segment","New Segment"
"Newsletter Finish","Newsletter Finish"
"Newsletter Message Preview","Newsletter Message Preview"
"Newsletter","Newsletter"
"Newsletter Queue","Newsletter Queue"
"Newsletter Received","Newsletter Received"
"Newsletters","Newsletters"
"Newsletter Start","Newsletter Start"
"Newsletter Subscription","Newsletter Subscription"
"New Smtp","New Smtp"
"New Subscriber","New Subscriber"
"New Template","New Template"
"None","None"
"No Newsletter Found","No Newsletter Found"
"No","No"
"Not Activated","Not Activated"
"No Templates Found","No Templates Found"
"Note that this field's text  is case-sensitive <br /> and must exactly correspond to the MailChimp text","Note that this field's text  is case-sensitive <br /> and must exactly correspond to the MailChimp text"
"Not Sent","Not Sent"
"Opens new window with synchronization options","Opens new window with synchronization options"
"Order status","Order status"
"Password","Password"
"Paused","Paused"
"Pause","Pause"
"Personal Information","Personal Information"
"Phone","Phone"
"Please enter new template name","Please enter new template name"
"Please, register to subscribe","Please, register to subscribe"
"Please select customer(s)","Please select customer(s)"
"Please select item(s)","Please select item(s)"
"Please select region, state or province","Please select region, state or province"
"Please select subscriber(s)","Please select subscriber(s)"
"Port","Port"
"Preview","Preview"
"Preview Template","Preview Template"
"Processed","Processed"
"Queue Date Start","Queue Date Start"
"Queue Finish","Queue Finish"
"Queue Newsletter...","Queue Newsletter..."
"Queue Start","Queue Start"
"Radio buttons","Radio buttons"
"Recipients","Recipients"
"Remove from","Remove from"
"* Required Fields","* Required Fields"
"Reset","Reset"
"Resume","Resume"
"Return HTML Version","Return HTML Version"
"Rule Information","Rule Information"
"Rule Title","Rule Title"
"Rule was successfully deleted","Rule was successfully deleted"
"Rule was successfully saved","Rule was successfully saved"
"Salutation 1","Salutation 1"
"Salutation 1","Salutation 1"
"Salutation 2","Salutation 2"
"Salutation 2","Salutation 2"
"Salutation","Salutation"
"Save And Continue Edit","Save And Continue Edit"
"Save As","Save As"
"Save Item","Save Item"
"Save Rule","Save Rule"
"Save Template","Save Template"
"Segment code and title can not include \',<>\' and _ at the code beginning. Spaces mustn\'t be used in segment code","Segment code and title can not include \',<>\' and _ at the code beginning. Spaces mustn\'t be used in segment code"
"Segment code","Segment code"
"Segment Code","Segment Code"
"Segments are not set","Segments are not set"
"Segments codes","Segments codes"
"Segments Codes","Segments Codes"
"Segment","Segment"
"Segments Management","Segments Management"
"Segments","Segments"
"Segments style","Segments style"
"Segment Title","Segment Title"
"Segment was successfully deleted","Segment was successfully deleted"
"Select lists","Select lists"
"Select","Select"
"Sender Email","Sender Email"
"Sender Name","Sender Name"
"Sender","Sender"
"Sending","Sending"
"Send newsletter to customers according to the MSS rule","Send newsletter to customers according to the MSS rule"
"Send Test","Send Test"
"Sent","Sent"
"Server name","Server name"
"Sign Up for Newsletter","Sign Up for Newsletter"
"SMTP account","SMTP account"
"SMTP Configuration","SMTP Configuration"
"SMTP server","SMTP server"
"Sorry, the subscription is not available from this page","Sorry, the subscription is not available from this page"
"%s %s","%s %s"
"Start","Start"
"Start now","Start now"
"State/Province","State/Province"
"Status","Status"
"Store default","Store default"
"Store","Store"
"Store View","Store View"
"Street Address %s","Street Address %s"
"Street Address","Street Address"
"Subject","Subject"
"Submit","Submit"
"Subscribed in store","Subscribed in store"
"Subscribed","Subscribed"
"Subscribers From","Subscribers From"
"Subscribers","Subscribers"
"Subscribers synchronization successfully completed","Subscribers synchronization successfully completed"
"Subscribe","Subscribe"
"Subscribe to segment","Subscribe to segment"
"Successed","Successed"
"Subscriptions","Subscriptions"
"Successfully deleted","Successfully deleted"
"Successfully saved","Successfully saved"
"Successfully subscribed","Successfully subscribed"
"Successfully unsubscribed","Successfully unsubscribed"
"Sync from MailChimp is processing","Sync from MailChimp is processing"
"Sync from MailChimp","Sync from MailChimp"
"Synchronization From MailChimp","Synchronization From MailChimp"
"Synchronization To MailChimp","Synchronization To MailChimp"
"Synchronization was queued","Synchronization was queued"
"Synchronization with Magento newsletter","Synchronization with Magento newsletter"
"Sync to MailChimp is processing","Sync to MailChimp is processing"
"Sync to MailChimp","Sync to MailChimp"
"Telephone","Telephone"
"Test connection","Test connection"
"Templates","Templates"
"Template Content","Template Content"
"Template Id","Template Id"
"Template Information","Template Information"
"Template Name","Template Name"
"Templates Management","Templates Management"
"Templates synchronization successfully completed","Templates synchronization successfully completed"
"Template Styles","Template Styles"
"Template Subject","Template Subject"
"Template Type","Template Type"
"Test email has been sent","Test email has been sent"
"Test email has not been sent","Test email has not been sent"
"The email with activation code is send to your address","The email with activation code is send to your address"
"There is already customer with such email. Please, log in to update your segments","There is already customer with such email. Please, log in to update your segments"
"This rule no longer exists","This rule no longer exists"
"This value can not be changed after saving","This value can not be changed after saving"
"Title","Title"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Type","Type"
"Unable to find a page to delete","Unable to find a page to delete"
"Unable to find item to save","Unable to find item to save"
"Unknown Store Id","Unknown Store Id"
"Unknown","Unknown"
"Unsubscribed","Unsubscribed"
"Unsubscribe from segment","Unsubscribe from segment"
"Unsubscribe","Unsubscribe"
"Update status","Update status"
"User name","User name"
"User Name","User Name"
"Use ssl","Use ssl"
"Use TLS","Use TLS"
"View","View"
"Visible at frontend","Visible at frontend"
"Website","Website"
"Wrong newsletter template.","Wrong newsletter template."
"XML-RPC URL","XML-RPC URL"
"XML","XML"
"Yes","Yes"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"You are currently subscribed to","You are currently subscribed to"
"You can use Market Segmentation Suite rules to send your templates","You can use Market Segmentation Suite rules to send your templates"
"You have been successfully subscribed","You have been successfully subscribed"
"You have been successfully unsubscribed","You have been successfully unsubscribed"
"Your subscription is activated now","Your subscription is activated now"
"Your subscriptions have been successfully updated","Your subscriptions have been successfully updated"
"Your subscriptions:","Your subscriptions:"
"Zip/Postal Code","Zip/Postal Code"
"ZIP","ZIP"
"Send unsubscription success notification","Send unsubscription success notification"
"Send subscription success notification","Send subscription success notification"
"You can unsubscribe from our newsletter in your account.","You can unsubscribe from our newsletter in your account."
"Queue","Queue"
"Visible at checkout","Visible at checkout"
"Synchronization","Synchronization"
"Synchronize:","Synchronize:"
"Update users names:","Update users names:"
"Subscribed & Unsubscribed","Subscribed & Unsubscribed"
"Update statuses","Update statuses"
"Update list","Update list"
"Form Configuration","Form Configuration"
"Checkout Visibility","Checkout Visibility"