%s Item(s),%s Sản phẩm
&copy; 2008 Magento Demo Store. All Rights Reserved.,&copy; 2010 Wannabe.com.vn. All Rights Reserved.
"(ver. %s)","(ver. %s)"
"book","cuốn"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> nếu không có chuyển biến gì"
"Close Window","Đóng cửa sổ"
"Default Description","Diễn tả mặc định"
"Default welcome msg!","Lời chào mặc định!"
Hãy giúp chúng tôi phát triển Magento ngày càng tốt hơn,Hãy giúp chúng tôi phát triển Magento ngày càng tốt hơn"
"Discounted Books","Sách Giảm giá"
"Interface Language","Ngôn ngữ giao diện"
"Items %s to %s of %s total","Sản phẩm %s tới %s của %s tổng"
"Next Page","Trang tiếp theo"
"Page:","Trang:"
"Previous Page","Trang trước"
"Profile","Thông tin tác giả"
"Redirecting...","Đang chuyển..."
"Report All Bugs","Thông báo tất cả các lỗi"
"Select Store","Lựa chọn cửa hàng"
"Show","Hiển thị"
"Skip to Main Content","Tạm bỏ đến nội dung chính"
"Support: (08)3740.7100","Wannabe Care: (08)7-305-8454<span style=""color:#FF6600;font-weight:bold"">(7-22h cả T7,CN)</span>"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Đây là cửa hàng chạy thử. Tất cả các đơn hàng đều không được tính toán và xử lý."
"Welcome, %s!","Chào mừng, %s!"
"You're currently on:","Bạn đang ở:"
Your Language,"Đổi ngôn ngữ"
Your Language:,"Đổi ngôn ngữ:"
"per page","trên trang"
######################################################################
"Author in month","Giới thiệu Tác giả"
"Wannabe.com.vn - Bestsellers"," Wannabe.com.vn - sản phẩm bán chạy"
"Book selection","Sản phẩm mới"
"Filter by category","Lọc theo thể loại"
"Guide","Giúp đỡ"
"We only support link from amazon book details, have a problem please contact us.","Chúng tôi chỉ hỗ trợ link xem sách chi tiết từ amazon, có vấn đề gì xin liên hệ với chúng tôi."
"FREE EXPRESS DELIVERY 1-2 DAY NATIONAL","MIỄN PHÍ GIAO HÀNG TRÊN TOÀN QUỐC"
"REFUND MONEY, IF YOU ARE DISSATISFIED BARTER","HOÀN TIỀN, ĐỔI HÀNG NẾU KHÔNG HÀI LÒNG"