"Authenticated with the bank","Đã xác thực với ngân hàng"
"Cancel, has a refund","Huỷ, đã hoàn tiền"
"Complete","Đã hoàn thành"
"Created, no bank information","Mới tạo, chưa có thông tin ngân hàng"
"Destroyed","Bị hủy"
"Get Money from Dong A Bank","Lấy tiền từ ngân hàng Đông Á"
"Order List Near Overdue","Danh sách đơn đặt hàng gần quá hạn"
"Order List Payment Dong A Bank","Danh sách đơn đặt hàng thanh toán Ngân hàng Đông Á"
"Order Near Overdue","Đơn đặt hàng gần quá hạn"
"Not authenticated with the bank","Chưa xác thực với ngân hàng"
"There are currently %s orders to change the status complete with Dong A Bank %s","Hiện tại có %s đơn đặt hàng phải được chuyển sang trạng thái ""Hoàn Thành"". %s"
"Receive payment now","Nhận thanh toán liền"
"Unreliable within specified","Không xác thực trong thời hạn quy định"
"Update Status with Dong A bank","Cập nhật trạng thái với ngân hàng Đông Á"
"Online payment with VNBC (Dong A)","Thanh toán trực tuyến với VNBC (Đông Á)"
"Order List Near Overdue","Đơn hàng gần quá hạn"
"Order List Payment VNBC","Đơn hàng tháng toán bằng VNBC"